unlocode,port_name,country,lat,lon
USLAX,Los Angeles,US,33.73,-118.26
USLGB,Long Beach,US,33.75,-118.19
SGSIN,Singapore,SG,1.26,103.84
INNSA,JNPT Nhava Sheva,IN,18.95,72.95
INMUN,Mundra,IN,22.75,69.70
CNSHA,Shanghai,CN,31.23,121.49
NLRTM,Rotterdam,NL,51.95,4.14
DEHAM,Hamburg,DE,53.54,9.97
